"id","location_name","sole_name","parent_id","location_level"
"622124","肃北蒙古族自治县","甘肃省酒泉地区肃北蒙古族自治县","622100","2"
"622125","阿克塞哈萨克族自治县","甘肃省酒泉地区阿克塞哈萨克族自治县","622100","2"
"622126","安西县","甘肃省酒泉地区安西县","622100","2"
"622200","张掖地区","甘肃省张掖地区","620000","1"
"622201","张掖市","甘肃省张掖地区张掖市","622200","2"
"622222","肃南裕固族自治县","甘肃省张掖地区肃南裕固族自治县","622200","2"
"622223","民乐县","甘肃省张掖地区民乐县","622200","2"
"622224","临泽县","甘肃省张掖地区临泽县","622200","2"
"622225","高台县","甘肃省张掖地区高台县","622200","2"
"622226","山丹县","甘肃省张掖地区山丹县","622200","2"
"622300","武威地区","甘肃省武威地区","620000","1"
"622301","武威市","甘肃省武威地区武威市","622300","2"
"622322","民勤县","甘肃省武威地区民勤县","622300","2"
"622323","古浪县","甘肃省武威地区古浪县","622300","2"
"622326","天祝藏族自治县","甘肃省武威地区天祝藏族自治县","622300","2"
"622400","定西地区","甘肃省定西地区","620000","1"
"622421","定西县","甘肃省定西地区定西县","622400","2"
"622424","通渭县","甘肃省定西地区通渭县","622400","2"
"622425","陇西县","甘肃省定西地区陇西县","622400","2"
"622426","渭源县","甘肃省定西地区渭源县","622400","2"
"622427","临洮县","甘肃省定西地区临洮县","622400","2"
"622428","漳县","甘肃省定西地区漳县","622400","2"
"622429","岷县","甘肃省定西地区岷县","622400","2"
"622600","陇南地区","甘肃省陇南地区","620000","1"
"622621","武都县","甘肃省陇南地区武都县","622600","2"
"622623","宕昌县","甘肃省陇南地区宕昌县","622600","2"
"622624","成县","甘肃省陇南地区成县","622600","2"
"622625","康县","甘肃省陇南地区康县","622600","2"
"622626","文县","甘肃省陇南地区文县","622600","2"
"622627","西和县","甘肃省陇南地区西和县","622600","2"
"622628","礼县","甘肃省陇南地区礼县","622600","2"
"622629","两当县","甘肃省陇南地区两当县","622600","2"
"622630","徽县","甘肃省陇南地区徽县","622600","2"
"622700","平凉地区","甘肃省平凉地区","620000","1"
"622701","平凉市","甘肃省平凉地区平凉市","622700","2"
"622722","泾川县","甘肃省平凉地区泾川县","622700","2"
"622723","灵台县","甘肃省平凉地区灵台县","622700","2"
"622724","崇信县","甘肃省平凉地区崇信县","622700","2"
"622725","华亭县","甘肃省平凉地区华亭县","622700","2"
"622726","庄浪县","甘肃省平凉地区庄浪县","622700","2"
"622727","静宁县","甘肃省平凉地区静宁县","622700","2"
"622800","庆阳地区","甘肃省庆阳地区","620000","1"
"622801","西峰市","甘肃省庆阳地区西峰市","622800","2"
"622821","庆阳县","甘肃省庆阳地区庆阳县","622800","2"
"622822","环县","甘肃省庆阳地区环县","622800","2"
"622823","华池县","甘肃省庆阳地区华池县","622800","2"
"622824","合水县","甘肃省庆阳地区合水县","622800","2"
"622825","正宁县","甘肃省庆阳地区正宁县","622800","2"
"622826","宁县","甘肃省庆阳地区宁县","622800","2"
"622827","镇原县","甘肃省庆阳地区镇原县","622800","2"
"622900","临夏回族自治州","甘肃省临夏回族自治州","620000","1"
"622901","临夏市","甘肃省临夏回族自治州临夏市","622900","2"
"622921","临夏县","甘肃省临夏回族自治州临夏县","622900","2"
"622922","康乐县","甘肃省临夏回族自治州康乐县","622900","2"
"622923","永靖县","甘肃省临夏回族自治州永靖县","622900","2"
"622924","广河县","甘肃省临夏回族自治州广河县","622900","2"
"622925","和政县","甘肃省临夏回族自治州和政县","622900","2"
"622926","东乡族自治县","甘肃省临夏回族自治州东乡族自治县","622900","2"
"622927","积石山保安族东乡族撒拉族自治县","甘肃省临夏回族自治州积石山保安族东乡族撒拉族自治县","622900","2"
"623000","甘南藏族自治州","甘肃省甘南藏族自治州","620000","1"
"623001","合作市","甘肃省甘南藏族自治州合作市","623000","2"
"623021","临潭县","甘肃省甘南藏族自治州临潭县","623000","2"
"623022","卓尼县","甘肃省甘南藏族自治州卓尼县","623000","2"
"623023","舟曲县","甘肃省甘南藏族自治州舟曲县","623000","2"
"623024","迭部县","甘肃省甘南藏族自治州迭部县","623000","2"
"623025","玛曲县","甘肃省甘南藏族自治州玛曲县","623000","2"
"623026","碌曲县","甘肃省甘南藏族自治州碌曲县","623000","2"
"623027","夏河县","甘肃省甘南藏族自治州夏河县","623000","2"
"630000","青海省","青海省",,"0"
"630100","西宁市","青海省西宁市","630000","1"
"630101","市辖区","青海省西宁市市辖区","630100","2"
"630102","城东区","青海省西宁市城东区","630100","2"
"630103","城中区","青海省西宁市城中区","630100","2"
"630104","城西区","青海省西宁市城西区","630100","2"
"630105","城北区","青海省西宁市城北区","630100","2"
"630121","大通回族土族自治县","青海省西宁市大通回族土族自治县","630100","2"
"632100","海东地区","青海省海东地区","630000","1"
"632121","平安县","青海省海东地区平安县","632100","2"
"632122","民和回族土族自治县","青海省海东地区民和回族土族自治县","632100","2"
"632123","乐都县","青海省海东地区乐都县","632100","2"
"632124","湟中县","青海省海东地区湟中县","632100","2"
"632125","湟源县","青海省海东地区湟源县","632100","2"
"632126","互助土族自治县","青海省海东地区互助土族自治县","632100","2"
"632127","化隆回族自治县","青海省海东地区化隆回族自治县","632100","2"
"632128","循化撒拉族自治县","青海省海东地区循化撒拉族自治县","632100","2"
"632200","海北藏族自治州","青海省海北藏族自治州","630000","1"
"632221","门源回族自治县","青海省海北藏族自治州门源回族自治县","632200","2"
"632222","祁连县","青海省海北藏族自治州祁连县","632200","2"
"632223","海晏县","青海省海北藏族自治州海晏县","632200","2"
"632224","刚察县","青海省海北藏族自治州刚察县","632200","2"
"632300","黄南藏族自治州","青海省黄南藏族自治州","630000","1"
"632321","同仁县","青海省黄南藏族自治州同仁县","632300","2"
"632322","尖扎县","青海省黄南藏族自治州尖扎县","632300","2"
"632323","泽库县","青海省黄南藏族自治州泽库县","632300","2"
"632324","河南蒙古族自治县","青海省黄南藏族自治州河南蒙古族自治县","632300","2"
"632500","海南藏族自治州","青海省海南藏族自治州","630000","1"
"632521","共和县","青海省海南藏族自治州共和县","632500","2"
"632522","同德县","青海省海南藏族自治州同德县","632500","2"
"632523","贵德县","青海省海南藏族自治州贵德县","632500","2"
"632524","兴海县","青海省海南藏族自治州兴海县","632500","2"
"632525","贵南县","青海省海南藏族自治州贵南县","632500","2"
"632600","果洛藏族自治州","青海省果洛藏族自治州","630000","1"
"632621","玛沁县","青海省果洛藏族自治州玛沁县","632600","2"
"632622","班玛县","青海省果洛藏族自治州班玛县","632600","2"
"632623","甘德县","青海省果洛藏族自治州甘德县","632600","2"
"632624","达日县","青海省果洛藏族自治州达日县","632600","2"
"632625","久治县","青海省果洛藏族自治州久治县","632600","2"
"632626","玛多县","青海省果洛藏族自治州玛多县","632600","2"
"632700","玉树藏族自治州","青海省玉树藏族自治州","630000","1"
"632721","玉树县","青海省玉树藏族自治州玉树县","632700","2"
"632722","杂多县","青海省玉树藏族自治州杂多县","632700","2"
"632723","称多县","青海省玉树藏族自治州称多县","632700","2"
"632724","治多县","青海省玉树藏族自治州治多县","632700","2"
"632725","囊谦县","青海省玉树藏族自治州囊谦县","632700","2"
"632726","曲麻莱县","青海省玉树藏族自治州曲麻莱县","632700","2"
"632800","海西蒙古族藏族自治州","青海省海西蒙古族藏族自治州","630000","1"
"632801","格尔木市","青海省海西蒙古族藏族自治州格尔木市","632800","2"
"632802","德令哈市","青海省海西蒙古族藏族自治州德令哈市","632800","2"
"632821","乌兰县","青海省海西蒙古族藏族自治州乌兰县","632800","2"
"632822","都兰县","青海省海西蒙古族藏族自治州都兰县","632800","2"
"632823","天峻县","青海省海西蒙古族藏族自治州天峻县","632800","2"
"640000","宁夏回族自治区","宁夏回族自治区",,"0"
"640100","银川市","宁夏回族自治区银川市","640000","1"
"640101","市辖区","宁夏回族自治区银川市市辖区","640100","2"
"640102","城区","宁夏回族自治区银川市城区","640100","2"
"640103","新城区","宁夏回族自治区银川市新城区","640100","2"
